API Name,Base URL,Source URL
"행정안전부_동물_동물용의료용구판매업 조회서비스","apis.data.go.kr/1741000/veterinary_medical_equipment_sales","https://www.data.go.kr/data/15154971/openapi.do"
"행정안전부_자원환경_대기오염물질배출시설설치사업장 조회서비스","apis.data.go.kr/1741000/air_pollution_facility_installation","https://www.data.go.kr/data/15154973/openapi.do"
"행정안전부_생활_골프연습장업 조회서비스","apis.data.go.kr/1741000/golf_practice_ranges","https://www.data.go.kr/data/15154975/openapi.do"
"행정안전부_자원환경_배출가스전문정비사업자(확인검사대행자) 조회서비스","apis.data.go.kr/1741000/emission_inspection_agencies","https://www.data.go.kr/data/15154976/openapi.do"
"행정안전부_생활_골프장 조회서비스","apis.data.go.kr/1741000/golf_courses","https://www.data.go.kr/data/15154978/openapi.do"
"행정안전부_자원환경_분뇨수집운반업 조회서비스","apis.data.go.kr/1741000/night_soil_collection_transport","https://www.data.go.kr/data/15154979/openapi.do"
"행정안전부_건강_산후조리업 조회서비스","apis.data.go.kr/1741000/postpartum_care","https://www.data.go.kr/data/15154981/openapi.do"
"행정안전부_자원환경_소독업 조회서비스","apis.data.go.kr/1741000/disinfection_companies","https://www.data.go.kr/data/15154982/openapi.do"
"행정안전부_문화_관광극장유흥업 조회서비스","apis.data.go.kr/1741000/tourist_theater_entertainment","https://www.data.go.kr/data/15154983/openapi.do"
"행정안전부_동물_동물용의약품도매상 조회서비스","apis.data.go.kr/1741000/veterinary_drug_wholesalers","https://www.data.go.kr/data/15154984/openapi.do"
"행정안전부_자원환경_수질오염원설치시설(기타) 조회서비스","apis.data.go.kr/1741000/water_pollution_source_other","https://www.data.go.kr/data/15154989/openapi.do"
"행정안전부_기타_옥외광고업 조회서비스","apis.data.go.kr/1741000/outdoor_advertising_companies","https://www.data.go.kr/data/15155004/openapi.do"
"행정안전부_생활_당구장업 조회서비스","apis.data.go.kr/1741000/billiard_halls","https://www.data.go.kr/data/15155011/openapi.do"
"행정안전부_기타_인쇄사 조회서비스","apis.data.go.kr/1741000/printing_shops","https://www.data.go.kr/data/15155014/openapi.do"
"행정안전부_자원환경_쓰레기종량제봉투판매업 조회서비스","apis.data.go.kr/1741000/pay_as_you_throw_bag_retailers","https://www.data.go.kr/data/15155015/openapi.do"
"행정안전부_생활_등록체육시설업 조회서비스","apis.data.go.kr/1741000/registered_sports_facilities","https://www.data.go.kr/data/15155018/openapi.do"
"행정안전부_자원환경_저수조청소업 조회서비스","apis.data.go.kr/1741000/water_tank_cleaning","https://www.data.go.kr/data/15155019/openapi.do"
"행정안전부_기타_출판사 조회서비스","apis.data.go.kr/1741000/publishers","https://www.data.go.kr/data/15155020/openapi.do"
"행정안전부_자원환경_환경관리대행기관 조회서비스","apis.data.go.kr/1741000/environment_management_agencies","https://www.data.go.kr/data/15155021/openapi.do"
"행정안전부_생활_무도장업 조회서비스","apis.data.go.kr/1741000/dance_halls","https://www.data.go.kr/data/15155022/openapi.do"
"행정안전부_동물_동물운송업 조회서비스","apis.data.go.kr/1741000/animal_transport","https://www.data.go.kr/data/15155024/openapi.do"
"행정안전부_문화_비디오물배급업 조회서비스","apis.data.go.kr/1741000/video_distributors","https://www.data.go.kr/data/15155025/openapi.do"
"행정안전부_자원환경_환경전문공사업 조회서비스","apis.data.go.kr/1741000/environment_contractors","https://www.data.go.kr/data/15155027/openapi.do"
"행정안전부_기타_담배도매업 조회서비스","apis.data.go.kr/1741000/tobacco_wholesalers","https://www.data.go.kr/data/15155028/openapi.do"
"행정안전부_생활_무도학원업 조회서비스","apis.data.go.kr/1741000/dance_academies","https://www.data.go.kr/data/15155029/openapi.do"
"행정안전부_자원환경_환경측정대행업 조회서비스","apis.data.go.kr/1741000/environment_measurement_agencies","https://www.data.go.kr/data/15155030/openapi.do"
"행정안전부_기타_담배소매업 조회서비스","apis.data.go.kr/1741000/tobacco_retailers","https://www.data.go.kr/data/15155031/openapi.do"
"행정안전부_생활_빙상장업 조회서비스","apis.data.go.kr/1741000/ice_rinks","https://www.data.go.kr/data/15155033/openapi.do"
"행정안전부_자원환경_환경컨설팅회사 조회서비스","apis.data.go.kr/1741000/environment_consulting_companies","https://www.data.go.kr/data/15155036/openapi.do"
"행정안전부_생활_수영장업 조회서비스","apis.data.go.kr/1741000/swimming_pools","https://www.data.go.kr/data/15155038/openapi.do"
"행정안전부_생활_스키장 조회서비스","apis.data.go.kr/1741000/ski_resorts","https://www.data.go.kr/data/15155041/openapi.do"
"행정안전부_문화_비디오물소극장업 조회서비스","apis.data.go.kr/1741000/video_mini_theaters","https://www.data.go.kr/data/15155043/openapi.do"
"행정안전부_생활_승마장업 조회서비스","apis.data.go.kr/1741000/horse_riding","https://www.data.go.kr/data/15155045/openapi.do"
"행정안전부_기타_담배수입판매업체 조회서비스","apis.data.go.kr/1741000/tobacco_import_retailers","https://www.data.go.kr/data/15155047/openapi.do"
"행정안전부_생활_썰매장업 조회서비스","apis.data.go.kr/1741000/sledding","https://www.data.go.kr/data/15155051/openapi.do"
"행정안전부_동물_동물위탁관리업 조회서비스","apis.data.go.kr/1741000/animal_boarding","https://www.data.go.kr/data/15155055/openapi.do"
"행정안전부_기타_국제물류주선업 조회서비스","apis.data.go.kr/1741000/international_logistics_forwarders","https://www.data.go.kr/data/15155056/openapi.do"
"행정안전부_문화_비디오물시청제공업 조회서비스","apis.data.go.kr/1741000/video_streaming_providers","https://www.data.go.kr/data/15155059/openapi.do"
"행정안전부_생활_요트장업 조회서비스","apis.data.go.kr/1741000/yacht_marinas","https://www.data.go.kr/data/15155061/openapi.do"
"행정안전부_동물_동물장묘업 조회서비스","apis.data.go.kr/1741000/animal_cremation","https://www.data.go.kr/data/15155065/openapi.do"
"행정안전부_기타_물류창고업체 조회서비스","apis.data.go.kr/1741000/logistics_warehouses","https://www.data.go.kr/data/15155066/openapi.do"
"행정안전부_생활_종합체육시설업 조회서비스","apis.data.go.kr/1741000/comprehensive_sports_facilities","https://www.data.go.kr/data/15155071/openapi.do"
"행정안전부_동물_동물전시업 조회서비스","apis.data.go.kr/1741000/animal_exhibition","https://www.data.go.kr/data/15155075/openapi.do"
"행정안전부_생활_체력단련장업 조회서비스","apis.data.go.kr/1741000/fitness_centers","https://www.data.go.kr/data/15155077/openapi.do"
"행정안전부_문화_비디오물제작업 조회서비스","apis.data.go.kr/1741000/video_producers","https://www.data.go.kr/data/15155078/openapi.do"
"행정안전부_기타_민방위급수시설 조회서비스","apis.data.go.kr/1741000/civil_defense_water_facilities","https://www.data.go.kr/data/15155082/openapi.do"
"행정안전부_동물_동물판매업 조회서비스","apis.data.go.kr/1741000/animal_sales","https://www.data.go.kr/data/15155083/openapi.do"
"행정안전부_생활_체육도장업 조회서비스","apis.data.go.kr/1741000/martial_arts_dojo","https://www.data.go.kr/data/15155085/openapi.do"
"행정안전부_기타_상조업 조회서비스","apis.data.go.kr/1741000/funeral_service_providers","https://www.data.go.kr/data/15155088/openapi.do"
"행정안전부_동물_가축사육업 조회서비스","apis.data.go.kr/1741000/livestock_farming","https://www.data.go.kr/data/15155089/openapi.do"
"행정안전부_문화_관광숙박업 조회서비스","apis.data.go.kr/1741000/tourist_accommodations","https://www.data.go.kr/data/15155090/openapi.do"
"행정안전부_생활_목욕장업 조회서비스","apis.data.go.kr/1741000/public_baths","https://www.data.go.kr/data/15155091/openapi.do"
"행정안전부_기타_유료직업소개소 조회서비스","apis.data.go.kr/1741000/paid_job_centers","https://www.data.go.kr/data/15155093/openapi.do"
"행정안전부_기타_승강기유지관리업체 조회서비스","apis.data.go.kr/1741000/elevator_maintenance","https://www.data.go.kr/data/15155095/openapi.do"
"행정안전부_동물_가축인공수정소 조회서비스","apis.data.go.kr/1741000/artificial_insemination_centers","https://www.data.go.kr/data/15155097/openapi.do"
"행정안전부_자원환경_목재수입유통업 조회서비스","apis.data.go.kr/1741000/lumber_import_distribution","https://www.data.go.kr/data/15155098/openapi.do"
"행정안전부_기타_무료직업소개소 조회서비스","apis.data.go.kr/1741000/free_job_centers","https://www.data.go.kr/data/15155099/openapi.do"
